id,cost,elapsed_min,pulloff_force,pulloff_shortfall,pulloff_cost,wrench_achieved,wrench_shortfall,wrench_detach_cost,wrench_drift_cost,xy_drift,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
0c7229cc,0.666204,0.39,352.3400,0.631586,0.631586,23.2988,0.572602,0.400821,0.300000,45.4661,0.19931007,0.0028742237,4.9466132e-05,0.0090555296,0.42975298,0.00026900333,0.96807058,4.7302362,29.859154,4.6001633e-05,0.0017872916,0.80636979,0.04094326,302.34337
b6d48228,0.179791,0.39,762.2000,0.203028,0.203028,52.7661,0.032046,0.022432,0.134122,4.4707,0.042957564,0.0021444362,1.5708998e-05,0.0039289383,0.22758889,0.00011920688,0.93970405,4.4322654,30.020259,1.1818485e-05,0.0016750156,1.0525935,0.015641477,713.75446
10a2bd98,0.324976,0.39,699.2400,0.268860,0.268860,48.1980,0.115846,0.081092,0.300000,75.7013,0.093394949,0.0025851846,2.0868283e-05,0.01136814,0.49595077,0.00015229339,0.74676876,4.1337377,30.062661,8.1673293e-06,0.0007763783,1.0952353,0.057695254,649.4453
641ffd25,0.150000,0.39,966.7200,0.000000,0.000000,67.3060,0.000000,0.000000,0.300000,85.7238,0.13056312,0.0025684349,1.1387811e-05,0.0019232885,0.36180639,0.00065636034,0.6030877,3.9710747,30.097228,2.4236595e-05,0.0014990809,1.3266467,0.070616101,917.21552
96d3df8a,0.525606,0.39,495.1600,0.482251,0.482251,33.5675,0.384230,0.268961,0.300000,104.9366,0.079204479,0.0025540886,3.97539e-05,0.0062039269,0.35624568,0.00027816425,0.1680924,4.141129,30.243765,8.0702147e-05,0.0023814235,1.5899947,0.044471941,445.33243
97ea75e9,0.499012,0.39,522.1000,0.454082,0.454082,35.5159,0.348489,0.243942,0.300000,112.4790,0.18152384,0.0091498214,3.0849783e-05,0.0093196183,0.18793476,0.00055792414,0.52611468,4.4102956,30.027529,8.0114322e-06,0.0021472846,1.1794179,0.094959878,472.21669
6bd57df2,0.298137,0.39,726.6000,0.240252,0.240252,50.1503,0.080032,0.056022,0.300000,27.1149,0.080903427,0.0022360028,5.9514474e-05,0.0039685,0.34106967,0.00045079904,0.52912389,4.7906008,29.789378,2.5217277e-05,0.0018891944,0.51927701,0.04250407,676.92657
478b6418,9999.000000,0.39,50.3000,0.947405,0.947405,0.0000,1.000000,9999.000000,0.000000,0.0000,0.14192178,0.0026892031,1.1895583e-05,0.0023648579,0.39718418,0.00018168226,0.45161325,4.6212183,30.565872,3.5675907e-05,0.002910825,0.96618368,0.01202656,592.69364
da2a2991,0.150000,0.39,1248.2600,0.000000,0.000000,86.4756,0.000000,0.000000,0.300000,27.0121,0.14742939,0.017337053,2.7687982e-05,0.0038946207,0.48958632,0.0001410556,0.84285419,4.7255855,30.237316,1.6872327e-05,0.0042913706,0.52875987,0.051958343,1198.9372
ff31a678,0.622089,0.39,397.5000,0.584366,0.584366,26.4924,0.514018,0.359812,0.300000,145.7558,0.071343449,0.002138504,3.3876273e-05,0.0022333443,0.036107444,0.00033156544,0.18130206,4.6420813,29.724165,9.2256137e-05,0.0013649905,0.86172075,0.060765384,347.51992
560284f0,0.306775,0.39,717.5400,0.249726,0.249726,49.5428,0.091177,0.063824,0.300000,14.4512,0.16548284,0.0078008913,1.0417214e-05,0.0035924502,0.57796595,0.00054268904,0.12890683,4.1038531,30.156587,3.882382e-05,0.0029000585,1.1736201,0.021655812,667.97694
2c6fe889,0.150000,0.39,1224.7200,0.000000,0.000000,86.5491,0.000000,0.000000,0.300000,63.0023,0.17315568,0.0019306067,0.00011474568,0.004386836,0.14260385,0.00049770225,0.20758923,4.7361313,30.347589,1.7938552e-05,0.0038478231,1.2101512,0.061125052,1175.4665
c0b6ad6f,0.566753,0.39,453.6400,0.525665,0.525665,30.5396,0.439774,0.307842,0.300000,115.6385,0.11937093,0.0018787904,1.7105815e-05,0.0017999245,0.47686916,0.00040026482,0.58300902,4.7481612,30.003901,8.6312608e-05,0.0020783617,1.4327101,0.053370205,403.76732
