id,cost,elapsed_min,pulloff_force,pulloff_shortfall,pulloff_cost,wrench_achieved,wrench_shortfall,wrench_detach_cost,wrench_drift_cost,xy_drift,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
275ccf39,0.652324,0.28,352.3400,0.631586,0.631586,25.4606,0.532945,0.373061,0.300000,41.7002,0.19931007,0.0028742237,4.9466132e-05,0.0090555296,0.42975298,0.00026900333,0.96807058,4.7302362,29.859154,4.6001633e-05,0.0017872916,0.80636979,0.04094326,302.34337
2f415db0,0.165866,0.28,762.2000,0.203028,0.203028,57.5935,0.000000,0.000000,0.128704,4.2901,0.042957564,0.0021444362,1.5708998e-05,0.0039289383,0.22758889,0.00011920688,0.93970405,4.4322654,30.020259,1.1818485e-05,0.0016750156,1.0525935,0.015641477,713.75446
22f50ff3,0.286922,0.28,699.2400,0.268860,0.268860,54.1250,0.007118,0.004983,0.300000,305.0184,0.093394949,0.0025851846,2.0868283e-05,0.01136814,0.49595077,0.00015229339,0.74676876,4.1337377,30.062661,8.1673293e-06,0.0007763783,1.0952353,0.057695254,649.4453
03c84b86,0.150000,0.28,966.7200,0.000000,0.000000,73.0140,0.000000,0.000000,0.300000,296.5373,0.13056312,0.0025684349,1.1387811e-05,0.0019232885,0.36180639,0.00065636034,0.6030877,3.9710747,30.097228,2.4236595e-05,0.0014990809,1.3266467,0.070616101,917.21552
64606bf0,0.492966,0.28,495.1600,0.482251,0.482251,38.6512,0.290974,0.203682,0.300000,329.6888,0.079204479,0.0025540886,3.97539e-05,0.0062039269,0.35624568,0.00027816425,0.1680924,4.141129,30.243765,8.0702147e-05,0.0023814235,1.5899947,0.044471941,445.33243
26337796,0.466310,0.28,522.1000,0.454082,0.454082,40.6093,0.255054,0.178538,0.300000,182.2667,0.18152384,0.0091498214,3.0849783e-05,0.0093196183,0.18793476,0.00055792414,0.52611468,4.4102956,30.027529,8.0114322e-06,0.0021472846,1.1794179,0.094959878,472.21669
de45f5fb,0.270126,0.28,726.6000,0.240252,0.240252,54.7575,0.000000,0.000000,0.300000,26.8051,0.080903427,0.0022360028,5.9514474e-05,0.0039685,0.34106967,0.00045079904,0.52912389,4.7906008,29.789378,2.5217277e-05,0.0018891944,0.51927701,0.04250407,676.92657
0416272c,9999.000000,0.28,50.3000,0.947405,0.947405,0.0000,1.000000,9999.000000,0.000000,0.0000,0.14192178,0.0026892031,1.1895583e-05,0.0023648579,0.39718418,0.00018168226,0.45161325,4.6212183,30.565872,3.5675907e-05,0.002910825,0.96618368,0.01202656,592.69364
4174efc3,0.150000,0.28,1119.9800,0.000000,0.000000,95.4600,0.000000,0.000000,0.300000,43.4002,0.14742939,0.017337053,2.7687982e-05,0.0038946207,0.48958632,0.0001410556,0.84285419,4.7255855,30.237316,1.6872327e-05,0.0042913706,0.52875987,0.051958343,1198.9372
56a9600a,0.594362,0.28,397.5000,0.584366,0.584366,30.8109,0.434798,0.304358,0.300000,336.5122,0.071343449,0.002138504,3.3876273e-05,0.0022333443,0.036107444,0.00033156544,0.18130206,4.6420813,29.724165,9.2256137e-05,0.0013649905,0.86172075,0.060765384,347.51992
